date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-21,0.000660266504901751,1.4640055541058791e-05,1.610406109516467e-05,Li N.,2.1,0.5,0.025000000000000133
2007-01-21,0.0005423617718835812,0.00011790473301816982,-0.00011790473301816982,Kostanic J.,4.5,0.5,-0.1785714285714285
2007-01-21,0.001355904429708953,0.00011622037968933883,0.0008135426578253719,Safarova L.,8.0,0.5,1.5
2007-01-21,0.0016948805371361914,0.00016948805371361914,0.0003389761074272383,Peer S.,3.0,0.5,0.25
2007-01-21,0.0016101365102793818,8.474402685680957e-05,-8.474402685680957e-05,Dementieva E.,2.25,0.5,-0.050000000000000044
2007-01-21,0.0019120371059567658,0.00017251462610136232,0.00030190059567738407,Williams S.,2.75,0.5,0.1875
2007-01-22,0.0017829397101166192,0.00012909739584014663,-0.00012909739584014663,Li N.,2.37,0.5,-0.06751824817518248
2007-01-22,0.00138177827534038,0.00040116143477623935,-0.00040116143477623935,Hantuchova D.,11.0,0.5,-0.22499999999999998
2007-01-22,0.0011226948487140587,0.00025908342662632125,-0.00025908342662632125,Zvonareva V.,5.0,0.5,-0.1875
2007-01-23,0.0009667650086148838,0.00015592984009917481,-0.00015592984009917481,Safarova L.,3.25,0.5,-0.13888888888888895
2007-01-23,0.0008631830434061463,0.00010358196520873754,-0.00010358196520873754,Peer S.,2.75,0.5,-0.1071428571428571
2007-01-24,0.0007013362227674939,0.00016184682063865243,-0.00016184682063865243,Chakvetadze A.,5.0,0.5,-0.1875
2007-01-24,0.0005760976115590129,0.00012523861120848105,-0.00012523861120848105,Hingis M.,4.5,0.5,-0.1785714285714285
2007-01-27,0.0007013988420730982,6.700600562250551e-05,0.00012530123051408533,Williams S.,2.87,0.5,0.21750000000000003
2007-01-30,0.0005698865591843923,0.00013151228288870592,-0.00013151228288870592,Perry S.,5.0,0.5,-0.1875
2007-01-30,0.0007479761089295148,7.915091099783226e-05,0.0001780895497451226,Bremond S.,3.25,0.5,0.3125
2007-01-30,0.001121964163394272,0.0001246626848215858,0.00037398805446475737,Vinci R.,4.0,0.5,0.4999999999999998
2007-01-30,0.0008975713307154177,0.00022439283267885443,-0.00022439283267885443,Osterloh L.,6.0,0.5,-0.19999999999999996
2007-01-30,0.0007292767062062769,0.00016829462450914084,-0.00016829462450914084,Takao E.,5.0,0.5,-0.1875
2007-01-31,0.0006511399162556044,7.813678995067251e-05,-7.813678995067251e-05,Mattek B.,2.75,0.5,-0.1071428571428571
2007-01-31,0.0006836969120683846,2.7130829843983538e-05,3.255699581278025e-05,Santangelo M.,2.2,0.5,0.050000000000000044
